,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.10919801394144694,0.0024945363503234967,0.005333900451660156,0.0004713705145349331,2,sqrt,4,2,50,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.6929670098751461,0.6976285164752778,0.7078014682309407,0.6994656648604548,0.006193901533999379,352
1,0.21573638916015625,0.004031241466080369,0.008183797200520834,0.00025956840927843114,2,sqrt,4,2,100,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.6986342354558056,0.7054403349952809,0.7111319029514773,0.7050688244675213,0.005108909750770022,325
2,0.4246389865875244,0.003192531167504066,0.013674418131510416,0.00047268892318751734,2,sqrt,4,2,200,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.6981457375290437,0.705692500379063,0.7119055121464768,0.7052479166848612,0.005626194117785208,316
3,0.6325549284617106,0.006293051334305764,0.01917743682861328,0.000612609289901758,2,sqrt,4,2,300,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.6963291785419247,0.705374053030303,0.7118812827530429,0.7045281714417567,0.00637723153595409,334
4,0.10551953315734863,0.0016245043966095403,0.0056692759195963545,0.00047368399178844474,2,sqrt,4,5,50,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.6929670098751461,0.6976285164752778,0.7078014682309407,0.6994656648604548,0.006193901533999379,352
5,0.2082050641377767,0.0006202311769848497,0.008002996444702148,2.2110029448260555e-06,2,sqrt,4,5,100,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.6986342354558056,0.7054403349952809,0.7111319029514773,0.7050688244675213,0.005108909750770022,325
6,0.4254332383473714,0.015684042398383297,0.013002236684163412,9.199648620915592e-07,2,sqrt,4,5,200,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.6981457375290437,0.705692500379063,0.7119055121464768,0.7052479166848612,0.005626194117785208,316
7,0.6230756441752116,0.002670721705269658,0.01883721351623535,0.00022978480361403474,2,sqrt,4,5,300,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.6963291785419247,0.705374053030303,0.7118812827530429,0.7045281714417567,0.00637723153595409,334
8,0.1058499813079834,0.0004713729263647648,0.004999399185180664,1.0300859925600466e-06,2,sqrt,4,10,50,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.6929670098751461,0.6976285164752778,0.7078014682309407,0.6994656648604548,0.006193901533999379,352
9,0.21024433771769205,0.0018947803276801098,0.007502158482869466,0.00040803890833746503,2,sqrt,4,10,100,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.6986342354558056,0.7054403349952809,0.7111319029514773,0.7050688244675213,0.005108909750770022,325
10,0.4142425060272217,0.0006234087685034251,0.013335784276326498,0.00046980477638976627,2,sqrt,4,10,200,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.6981457375290437,0.705692500379063,0.7119055121464768,0.7052479166848612,0.005626194117785208,316
11,0.6195770104726156,0.0018344346420548095,0.019668420155843098,0.00046940359163817255,2,sqrt,4,10,300,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.6963291785419247,0.705374053030303,0.7118812827530429,0.7045281714417567,0.00637723153595409,334
12,0.10684998830159505,0.00046729442750464083,0.0049991607666015625,3.936915739854443e-06,2,sqrt,8,2,50,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 2, 'n_estimators': 50}",0.6929670098751461,0.6976285164752778,0.7078014682309407,0.6994656648604548,0.006193901533999379,352
13,0.21053425470987955,0.001075859628254082,0.00833431879679362,0.00047277525871565956,2,sqrt,8,2,100,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 2, 'n_estimators': 100}",0.6986342354558056,0.7054403349952809,0.7111319029514773,0.7050688244675213,0.005108909750770022,325
14,0.4219626585642497,0.002071124968468011,0.013503710428873697,0.00040736688642968024,2,sqrt,8,2,200,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 2, 'n_estimators': 200}",0.6981457375290437,0.705692500379063,0.7119055121464768,0.7052479166848612,0.005626194117785208,316
15,0.6249206860860189,0.0022485851355851026,0.018667936325073242,0.00047238512710652113,2,sqrt,8,2,300,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 2, 'n_estimators': 300}",0.6963291785419247,0.705374053030303,0.7118812827530429,0.7045281714417567,0.00637723153595409,334
