mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1114299774169921,0.0017740756390995,0.0044429302215576,0.0007818883267416,2.0,sqrt,4.0,2,50,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.6981168138651075,0.6833437319354992,0.6966683370968539,0.7264890521037899,0.7085301757106909,0.7026296221423882,0.0143661884263657,325
0.2171657562255859,0.0008906706910534,0.005944013595581,0.0005139493037764,2.0,sqrt,4.0,2,100,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.6892420903109904,0.6981820656716897,0.7105488187421847,0.7189504702323827,0.707574422623497,0.7048995735161488,0.0102642893554442,298
0.4312718868255615,0.0017732167681835,0.0104534149169921,0.0005255286202761,2.0,sqrt,4.0,2,200,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.6943216606563961,0.7012417068046344,0.707674864396143,0.7145468782911489,0.7113934784150309,0.7058357177126707,0.0072640750173764,262
0.6443273067474365,0.004353723938151,0.015085220336914,0.0014696362030536,2.0,sqrt,4.0,2,300,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.6907297709969166,0.6966154082640953,0.7106003208109968,0.7117773358584157,0.7105278387302142,0.7040501349321278,0.0086865697682518,307
0.1108860969543457,0.0018700937531373,0.0042467594146728,0.0003085122189496,2.0,sqrt,4.0,5,50,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.6981168138651075,0.6833437319354992,0.6966683370968539,0.7264890521037899,0.7085301757106909,0.7026296221423882,0.0143661884263657,325
0.2172427654266357,0.0023124074719149,0.0058103084564208,0.0002436869007503,2.0,sqrt,4.0,5,100,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.6892420903109904,0.6981820656716897,0.7105488187421847,0.7189504702323827,0.707574422623497,0.7048995735161488,0.0102642893554442,298
0.4402829647064209,0.0042661450489278,0.0099740505218505,0.0003310336805698,2.0,sqrt,4.0,5,200,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.6943216606563961,0.7012417068046344,0.707674864396143,0.7145468782911489,0.7113934784150309,0.7058357177126707,0.0072640750173764,262
0.6656217098236084,0.0193751478759841,0.0150412559509277,0.000718992906408,2.0,sqrt,4.0,5,300,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.6907297709969166,0.6966154082640953,0.7106003208109968,0.7117773358584157,0.7105278387302142,0.7040501349321278,0.0086865697682518,307
0.1108026981353759,0.0017792450278992,0.0040369510650634,7.519910963607163e-05,2.0,sqrt,4.0,10,50,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.6981168138651075,0.6833437319354992,0.6966683370968539,0.7264890521037899,0.7085301757106909,0.7026296221423882,0.0143661884263657,325
0.2192090034484863,0.0045739501656985,0.0057110786437988,0.0007487601733297,2.0,sqrt,4.0,10,100,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.6892420903109904,0.6981820656716897,0.7105488187421847,0.7189504702323827,0.707574422623497,0.7048995735161488,0.0102642893554442,298
0.4342951774597168,0.0011517940508049,0.010102891921997,0.000296157551411,2.0,sqrt,4.0,10,200,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.6943216606563961,0.7012417068046344,0.707674864396143,0.7145468782911489,0.7113934784150309,0.7058357177126707,0.0072640750173764,262
0.6569173812866211,0.0152532304909109,0.0146789073944091,0.0008253025765853,2.0,sqrt,4.0,10,300,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.6907297709969166,0.6966154082640953,0.7106003208109968,0.7117773358584157,0.7105278387302142,0.7040501349321278,0.0086865697682518,307
0.109639024734497,0.0006517596956626,0.0038256645202636,0.0002213337662469,2.0,sqrt,8.0,2,50,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 2, 'n_estimators': 50}",0.6981168138651075,0.6833437319354992,0.6966683370968539,0.7264890521037899,0.7085301757106909,0.7026296221423882,0.0143661884263657,325
0.2181217193603515,0.001299837621988,0.0056579113006591,0.0004317978869748,2.0,sqrt,8.0,2,100,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 2, 'n_estimators': 100}",0.6892420903109904,0.6981820656716897,0.7105488187421847,0.7189504702323827,0.707574422623497,0.7048995735161488,0.0102642893554442,298
