mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1245079517364502,0.016985675641736475,0.0043447017669677734,0.0004906946753713843,2,sqrt,4,2,50,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.6981168138651075,0.6833437319354992,0.6966683370968539,0.7264890521037899,0.7085301757106909,0.7026296221423882,0.014366188426365716,325
0.23121724128723145,0.0018733578244919224,0.0062599658966064455,0.0003909345421111719,2,sqrt,4,2,100,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.6892420903109904,0.6981820656716897,0.7105488187421847,0.7189504702323827,0.707574422623497,0.7048995735161488,0.010264289355444243,298
0.4556612014770508,0.002365937870475188,0.010672664642333985,0.0006898353677604938,2,sqrt,4,2,200,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.6943216606563961,0.7012417068046344,0.707674864396143,0.7145468782911489,0.7113934784150309,0.7058357177126707,0.007264075017376442,262
0.6797054767608642,0.005693047791436259,0.01526346206665039,0.0004943387078536016,2,sqrt,4,2,300,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.6907297709969166,0.6966154082640953,0.7106003208109968,0.7117773358584157,0.7105278387302142,0.7040501349321278,0.00868656976825182,307
0.1152235984802246,0.00041165607325224004,0.004299831390380859,0.0004012511275918119,2,sqrt,4,5,50,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.6981168138651075,0.6833437319354992,0.6966683370968539,0.7264890521037899,0.7085301757106909,0.7026296221423882,0.014366188426365716,325
0.22928528785705565,0.002271069484758996,0.00606989860534668,0.0001241673339118596,2,sqrt,4,5,100,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.6892420903109904,0.6981820656716897,0.7105488187421847,0.7189504702323827,0.707574422623497,0.7048995735161488,0.010264289355444243,298
0.4702011585235596,0.01724842367875264,0.010833930969238282,0.0006664113001527517,2,sqrt,4,5,200,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.6943216606563961,0.7012417068046344,0.707674864396143,0.7145468782911489,0.7113934784150309,0.7058357177126707,0.007264075017376442,262
0.6836929321289062,0.014917373254832332,0.015304470062255859,0.0002770553805773449,2,sqrt,4,5,300,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.6907297709969166,0.6966154082640953,0.7106003208109968,0.7117773358584157,0.7105278387302142,0.7040501349321278,0.00868656976825182,307
0.11419081687927246,0.0009683866419478764,0.0042421817779541016,0.0003877559026336248,2,sqrt,4,10,50,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.6981168138651075,0.6833437319354992,0.6966683370968539,0.7264890521037899,0.7085301757106909,0.7026296221423882,0.014366188426365716,325
0.23038158416748047,0.0032723566376069413,0.006340312957763672,0.00036671711540154365,2,sqrt,4,10,100,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.6892420903109904,0.6981820656716897,0.7105488187421847,0.7189504702323827,0.707574422623497,0.7048995735161488,0.010264289355444243,298
0.4538640022277832,0.002518860726490505,0.010814666748046875,0.0006684603230596999,2,sqrt,4,10,200,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.6943216606563961,0.7012417068046344,0.707674864396143,0.7145468782911489,0.7113934784150309,0.7058357177126707,0.007264075017376442,262
0.676231861114502,0.005402683642263987,0.014826393127441407,0.0005416904872460422,2,sqrt,4,10,300,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.6907297709969166,0.6966154082640953,0.7106003208109968,0.7117773358584157,0.7105278387302142,0.7040501349321278,0.00868656976825182,307
0.11454148292541504,0.0005322331403308868,0.004155588150024414,0.00020692839513930812,2,sqrt,8,2,50,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 2, 'n_estimators': 50}",0.6981168138651075,0.6833437319354992,0.6966683370968539,0.7264890521037899,0.7085301757106909,0.7026296221423882,0.014366188426365716,325
0.22903308868408204,0.0029081155793940694,0.0065249443054199215,0.0004549204574953787,2,sqrt,8,2,100,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 2, 'n_estimators': 100}",0.6892420903109904,0.6981820656716897,0.7105488187421847,0.7189504702323827,0.707574422623497,0.7048995735161488,0.010264289355444243,298
0.4528357982635498,0.002635414133262977,0.01094522476196289,0.00037581613202765536,2,sqrt,8,2,200,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 2, 'n_estimators': 200}",0.6943216606563961,0.7012417068046344,0.707674864396143,0.7145468782911489,0.7113934784150309,0.7058357177126707,0.007264075017376442,262
