total_number_of_words,total_number_of_stop_words,total_number_of_syllables,total_number_of_words_more_than_two_syllables,total_number_of_words_more_than_three_syllables,total_number_of_unique_words,total_number_of_sentences,total_number_of_characters,average_number_of_words_per_sentence,average_number_of_characters_per_sentence,average_number_of_characters_per_word,average_number_of_syllables_per_sentence,average_number_of_syllables_per_word,average_number_of_stop_words_per_sentence,average_number_of_stop_words_per_word,total_kuperman_age_of_acquistion_of_words,total_brysbaert_age_of_acquistion_of_words,total_subtlex_us_zipf_of_words,average_kuperman_age_of_acquistion_of_words_per_word,average_brysbaert_age_of_acquistion_of_words_per_word,average_kuperman_age_of_acquistion_of_words_per_sentence,average_brysbaert_age_of_acquistion_of_words_per_sentence,average_subtlex_us_zipf_of_words_per_word,average_subtlex_us_zipf_of_words_per_sentence,simple_adjectives_variation,simple_adpositions_variation,simple_adverbs_variation,simple_auxiliaries_variation,simple_coordinating_conjunctions_variation,simple_determiners_variation,simple_interjections_variation,simple_nouns_variation,simple_numerals_variation,simple_particles_variation,simple_pronouns_variation,simple_proper_nouns_variation,simple_punctuations_variation,simple_subordinating_conjunctions_variation,simple_symbols_variation,simple_verbs_variation,simple_spaces_variation,root_adjectives_variation,root_adpositions_variation,root_adverbs_variation,root_auxiliaries_variation,root_coordinating_conjunctions_variation,root_determiners_variation,root_interjections_variation,root_nouns_variation,root_numerals_variation,root_particles_variation,root_pronouns_variation,root_proper_nouns_variation,root_punctuations_variation,root_subordinating_conjunctions_variation,root_symbols_variation,root_verbs_variation,root_spaces_variation,corrected_adjectives_variation,corrected_adpositions_variation,corrected_adverbs_variation,corrected_auxiliaries_variation,corrected_coordinating_conjunctions_variation,corrected_determiners_variation,corrected_interjections_variation,corrected_nouns_variation,corrected_numerals_variation,corrected_particles_variation,corrected_pronouns_variation,corrected_proper_nouns_variation,corrected_punctuations_variation,corrected_subordinating_conjunctions_variation,corrected_symbols_variation,corrected_verbs_variation,corrected_spaces_variation,simple_type_token_ratio,root_type_token_ratio,corrected_type_token_ratio,bilogarithmic_type_token_ratio,uber_type_token_ratio,simple_type_token_ratio_no_lemma,root_type_token_ratio_no_lemma,corrected_type_token_ratio_no_lemma,bilogarithmic_type_token_ratio_no_lemma,uber_type_token_ratio_no_lemma,average_number_of_adjectives_per_word,average_number_of_adpositions_per_word,average_number_of_adverbs_per_word,average_number_of_auxiliaries_per_word,average_number_of_coordinating_conjunctions_per_word,average_number_of_determiners_per_word,average_number_of_interjections_per_word,average_number_of_nouns_per_word,average_number_of_numerals_per_word,average_number_of_particles_per_word,average_number_of_pronouns_per_word,average_number_of_proper_nouns_per_word,average_number_of_punctuations_per_word,average_number_of_subordinating_conjunctions_per_word,average_number_of_symbols_per_word,average_number_of_verbs_per_word,average_number_of_spaces_per_word,average_number_of_adjectives_per_sentence,average_number_of_adpositions_per_sentence,average_number_of_adverbs_per_sentence,average_number_of_auxiliaries_per_sentence,average_number_of_coordinating_conjunctions_per_sentence,average_number_of_determiners_per_sentence,average_number_of_interjections_per_sentence,average_number_of_nouns_per_sentence,average_number_of_numerals_per_sentence,average_number_of_particles_per_sentence,average_number_of_pronouns_per_sentence,average_number_of_proper_nouns_per_sentence,average_number_of_punctuations_per_sentence,average_number_of_subordinating_conjunctions_per_sentence,average_number_of_symbols_per_sentence,average_number_of_verbs_per_sentence,average_number_of_spaces_per_sentence,flesch_kincaid_reading_ease,flesch_kincaid_grade_level,gunning_fog_index,smog_index,coleman_liau_index,automated_readability_index,reading_time_for_fast_readers,reading_time_for_average_readers,reading_time_for_slow_readers
917,458,1316,134,42,384,48,4305,19.1,89.69,4.69,27.42,1.44,9.54,0.5,4182.34,3834.37,4629.66,4.56,4.18,87.13,79.88,5.05,96.45,0.83,0.23,0.94,0.13,0.12,0.13,1.0,0.61,0.83,0.08,0.22,0.53,0.06,0.3,1.0,0.59,0.25,6.38,2.07,5.21,1.14,0.61,1.13,1.0,7.66,2.04,0.48,2.11,5.62,0.75,1.54,1.0,6.63,0.5,4.51,1.47,3.68,0.81,0.43,0.8,0.71,5.42,1.44,0.34,1.49,3.97,0.53,1.09,0.71,4.69,0.35,0.42,12.68,8.97,0.87,40.68,0.42,12.68,8.97,0.87,40.68,0.06,0.09,0.03,0.08,0.03,0.09,0.0,0.17,0.01,0.04,0.1,0.12,0.19,0.03,0.0,0.14,0.0,1.23,1.75,0.65,1.6,0.5,1.65,0.02,3.27,0.12,0.81,1.88,2.38,3.67,0.56,0.02,2.67,0.08,66.03,8.79,13.49,5.34,10.26,10.23,3.06,3.82,5.24
23,8,41,5,2,24,1,118,23.0,118.0,5.13,41.0,1.78,8.0,0.35,112.96,102.33,109.42,4.91,4.45,112.96,102.33,4.76,109.42,1.0,1.0,1.0,0.0,1.0,0.67,0.0,1.0,1.0,1.0,0.0,1.0,0.67,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.41,1.15,0.0,3.0,1.0,1.0,0.0,1.41,1.15,0.0,0.0,1.41,0.0,0.71,0.71,0.71,0.0,1.0,0.82,0.0,2.12,0.71,0.71,0.0,1.0,0.82,0.0,0.0,1.0,0.0,1.04,5.0,3.54,1.01,-237.31,1.04,5.0,3.54,1.01,-237.31,0.04,0.04,0.04,0.0,0.09,0.13,0.0,0.39,0.04,0.04,0.0,0.09,0.13,0.0,0.0,0.09,0.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,9.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,32.68,14.41,17.9,8.08,13.08,14.23,0.08,0.1,0.13
805,422,1195,137,58,270,33,3873,24.39,117.36,4.81,36.21,1.48,12.79,0.52,4157.58,3606.96,4033.0,5.16,4.48,125.99,109.3,5.01,122.21,0.34,0.22,0.48,0.12,0.1,0.13,0.0,0.43,0.45,0.3,0.33,0.66,0.07,0.35,0.0,0.66,0.07,3.25,2.18,4.83,0.85,0.55,1.08,0.0,5.24,2.41,0.95,2.21,3.53,0.8,1.57,0.0,5.21,0.26,2.3,1.54,3.41,0.6,0.39,0.77,0.0,3.71,1.71,0.67,1.56,2.49,0.56,1.11,0.0,3.68,0.18,0.34,9.52,6.73,0.84,28.69,0.34,9.52,6.73,0.84,28.69,0.11,0.13,0.13,0.06,0.04,0.09,0.0,0.19,0.04,0.01,0.06,0.04,0.16,0.02,0.0,0.08,0.02,2.76,3.09,3.12,1.52,0.91,2.09,0.0,4.52,0.88,0.3,1.39,0.88,3.88,0.61,0.0,1.88,0.45,56.49,11.44,16.57,7.57,11.28,13.43,2.68,3.35,4.6
1658,749,2519,284,111,572,66,8204,25.12,124.3,4.95,38.17,1.52,11.35,0.45,7950.81,6838.14,8115.75,4.8,4.12,120.47,103.61,4.89,122.97,0.59,0.15,0.72,0.09,0.13,0.09,0.0,0.47,0.64,0.08,0.28,0.42,0.04,0.3,0.0,0.62,0.06,7.48,2.27,5.31,0.86,0.88,1.11,0.0,8.7,4.32,0.57,2.32,5.59,0.5,1.98,0.0,8.05,0.34,5.29,1.61,3.75,0.61,0.63,0.79,0.0,6.15,3.06,0.4,1.64,3.95,0.36,1.4,0.0,5.69,0.24,0.34,14.05,9.93,0.86,37.88,0.34,14.05,9.93,0.86,37.88,0.1,0.14,0.03,0.05,0.03,0.1,0.0,0.21,0.03,0.03,0.04,0.11,0.12,0.03,0.0,0.1,0.02,2.39,3.39,0.82,1.3,0.7,2.41,0.0,5.26,0.68,0.76,1.02,2.73,2.92,0.65,0.0,2.53,0.52,52.8,12.14,16.9,7.41,12.12,14.44,5.53,6.91,9.47
687,399,991,106,38,307,41,3130,16.76,76.34,4.56,24.17,1.44,9.73,0.58,3212.72,2811.7,3515.04,4.68,4.09,78.36,68.58,5.12,85.73,0.71,0.22,0.86,0.19,0.11,0.11,0.0,0.84,0.5,0.13,0.27,0.44,0.09,0.4,0.0,0.67,0.2,5.47,1.86,5.73,1.23,0.58,0.9,0.0,8.28,1.22,0.72,2.27,3.53,0.93,2.0,0.0,6.25,0.45,3.87,1.32,4.05,0.87,0.41,0.63,0.0,5.86,0.87,0.51,1.61,2.49,0.66,1.41,0.0,4.42,0.32,0.45,11.71,8.28,0.88,40.72,0.45,11.71,8.28,0.88,40.72,0.09,0.11,0.06,0.06,0.04,0.09,0.0,0.14,0.01,0.05,0.1,0.09,0.17,0.04,0.0,0.13,0.01,1.44,1.8,1.07,1.02,0.66,1.49,0.0,2.39,0.15,0.76,1.71,1.54,2.8,0.61,0.0,2.1,0.12,67.79,7.97,12.87,5.5,9.22,8.41,2.29,2.86,3.93
661,325,825,48,11,272,43,2819,15.37,65.56,4.26,19.19,1.25,7.56,0.49,2885.73,2545.73,3349.57,4.37,3.85,67.11,59.2,5.07,77.9,0.69,0.28,0.71,0.22,0.2,0.12,1.0,0.55,0.71,0.2,0.33,0.41,0.06,0.67,0.0,0.61,0.06,4.9,2.32,3.78,1.32,0.77,0.99,1.0,6.53,2.67,0.89,2.36,3.12,0.66,2.31,0.0,5.56,0.24,3.47,1.64,2.67,0.93,0.55,0.7,0.71,4.62,1.89,0.63,1.67,2.21,0.47,1.63,0.0,3.93,0.17,0.41,10.58,7.48,0.86,35.39,0.41,10.58,7.48,0.86,35.39,0.08,0.1,0.04,0.06,0.02,0.1,0.0,0.21,0.02,0.03,0.08,0.09,0.17,0.02,0.0,0.13,0.03,1.19,1.56,0.65,0.86,0.35,1.51,0.02,3.23,0.33,0.47,1.21,1.37,2.6,0.28,0.0,1.95,0.42,85.64,5.13,9.05,2.89,7.35,6.34,2.2,2.75,3.78
713,394,919,76,25,336,31,3066,23.0,98.9,4.3,29.65,1.29,12.71,0.55,3303.54,2753.42,3747.09,4.63,3.86,106.57,88.82,5.26,120.87,0.89,0.28,0.84,0.18,0.09,0.11,0.0,0.73,0.86,0.1,0.22,0.62,0.08,0.53,0.0,0.73,0.1,5.96,2.52,4.67,1.14,0.43,0.94,0.0,8.57,2.27,0.56,2.0,4.44,0.89,2.18,0.0,6.79,0.32,4.22,1.79,3.3,0.8,0.3,0.66,0.0,6.06,1.6,0.39,1.41,3.14,0.63,1.54,0.0,4.8,0.22,0.47,12.58,8.9,0.89,44.98,0.47,12.58,8.9,0.89,44.98,0.06,0.12,0.04,0.05,0.03,0.1,0.0,0.19,0.01,0.04,0.11,0.07,0.18,0.02,0.0,0.12,0.01,1.45,2.68,1.0,1.23,0.71,2.35,0.0,4.48,0.23,0.94,2.61,1.68,4.06,0.55,0.0,2.77,0.32,74.45,8.59,13.46,5.13,8.2,10.32,2.38,2.97,4.07
808,401,1219,147,56,365,32,3886,25.25,121.44,4.81,38.09,1.51,12.53,0.5,3978.49,3565.3,4040.71,4.92,4.41,124.33,111.42,5.0,126.27,0.68,0.18,0.76,0.2,0.19,0.17,1.0,0.69,0.62,0.12,0.4,0.56,0.11,0.39,0.0,0.74,0.13,5.66,1.77,4.6,1.4,1.06,1.63,1.0,8.67,2.22,0.71,2.68,4.3,0.98,1.65,0.0,7.02,0.52,4.0,1.25,3.25,0.99,0.75,1.15,0.71,6.13,1.57,0.5,1.9,3.04,0.69,1.17,0.0,4.97,0.37,0.45,12.84,9.08,0.88,43.8,0.45,12.84,9.08,0.88,43.8,0.09,0.11,0.05,0.06,0.04,0.12,0.0,0.2,0.02,0.04,0.06,0.07,0.1,0.02,0.0,0.11,0.02,2.16,2.88,1.16,1.59,1.0,3.0,0.03,4.94,0.41,1.0,1.41,1.84,2.62,0.56,0.0,2.84,0.47,53.57,12.06,17.38,7.56,11.31,13.85,2.69,3.37,4.62
574,284,863,90,40,247,17,2763,33.76,162.53,4.81,50.76,1.5,16.71,0.49,2807.32,2345.31,2956.65,4.89,4.09,165.14,137.96,5.15,173.92,0.6,0.24,0.88,0.27,0.29,0.11,0.0,0.64,0.33,0.17,0.42,0.34,0.09,0.55,0.0,0.75,0.25,4.5,2.08,3.5,1.46,1.07,0.96,0.0,7.09,0.58,0.71,2.44,2.85,0.73,1.81,0.0,5.49,0.5,3.18,1.47,2.47,1.03,0.76,0.68,0.0,5.01,0.41,0.5,1.72,2.01,0.52,1.28,0.0,3.89,0.35,0.43,10.31,7.29,0.87,36.0,0.43,10.31,7.29,0.87,36.0,0.1,0.13,0.03,0.05,0.02,0.12,0.0,0.21,0.01,0.03,0.06,0.12,0.12,0.02,0.0,0.09,0.01,3.35,4.41,0.94,1.76,0.82,4.12,0.0,7.12,0.18,1.06,1.94,4.18,3.94,0.65,0.0,3.12,0.24,45.37,15.32,19.78,8.76,11.63,18.12,1.91,2.39,3.28
2746,1137,3844,408,101,1078,114,12965,24.09,113.73,4.72,33.72,1.4,9.97,0.41,11445.11,9659.63,12688.59,4.17,3.52,100.4,84.73,4.62,111.3,0.66,0.08,0.63,0.11,0.07,0.05,1.0,0.61,0.7,0.08,0.16,0.56,0.04,0.3,0.5,0.61,0.07,8.79,1.51,6.01,1.18,0.61,0.74,1.0,14.16,6.15,0.7,1.95,12.56,0.76,2.18,1.22,10.33,0.59,6.22,1.07,4.25,0.83,0.43,0.52,0.71,10.01,4.35,0.5,1.38,8.88,0.54,1.54,0.87,7.3,0.41,0.39,20.57,14.55,0.88,52.15,0.39,20.57,14.55,0.88,52.15,0.06,0.12,0.03,0.04,0.02,0.08,0.0,0.2,0.03,0.03,0.05,0.18,0.16,0.02,0.0,0.1,0.03,1.55,2.8,0.79,1.07,0.59,1.94,0.01,4.74,0.68,0.64,1.32,4.46,3.9,0.47,0.05,2.52,0.64,63.96,10.32,15.58,5.38,10.73,12.85,9.15,11.44,15.69
1432,737,2197,265,88,622,50,6804,28.64,136.08,4.75,43.94,1.53,14.74,0.51,7045.2,5880.58,7293.71,4.92,4.11,140.9,117.61,5.09,145.87,0.73,0.18,0.61,0.18,0.08,0.09,0.75,0.72,0.76,0.08,0.25,0.57,0.07,0.32,0.0,0.66,0.14,9.1,2.18,5.56,1.52,0.55,1.12,1.5,11.35,3.15,0.56,2.65,6.48,0.9,2.11,0.0,8.43,0.38,6.43,1.54,3.93,1.08,0.39,0.79,1.06,8.02,2.23,0.4,1.87,4.58,0.64,1.49,0.0,5.96,0.27,0.43,16.44,11.62,0.89,49.63,0.43,16.44,11.62,0.89,49.63,0.11,0.1,0.06,0.05,0.04,0.11,0.0,0.17,0.01,0.04,0.08,0.09,0.12,0.03,0.0,0.11,0.0,3.14,2.84,1.68,1.46,1.06,3.14,0.08,4.92,0.34,1.02,2.24,2.54,3.54,0.88,0.0,3.28,0.14,47.97,13.68,18.86,7.58,11.1,15.27,4.77,5.97,8.18
101,41,169,21,10,80,7,532,14.43,76.0,5.27,24.14,1.67,5.86,0.41,535.84,380.73,495.62,5.31,3.77,76.55,54.39,4.91,70.8,1.0,0.62,1.0,0.5,0.6,0.09,0.0,0.96,0.0,1.0,1.0,0.75,0.36,0.75,0.0,1.0,1.0,3.0,1.77,2.0,1.22,1.34,0.3,0.0,4.59,0.0,1.41,1.41,3.0,1.21,1.5,0.0,3.16,1.0,2.12,1.25,1.41,0.87,0.95,0.21,0.0,3.24,0.0,1.0,1.0,2.12,0.85,1.06,0.0,2.24,0.71,0.79,7.96,5.63,0.95,82.38,0.79,7.96,5.63,0.95,82.38,0.09,0.08,0.04,0.06,0.05,0.11,0.0,0.23,0.0,0.02,0.02,0.16,0.11,0.04,0.0,0.1,0.01,1.29,1.14,0.57,0.86,0.71,1.57,0.0,3.29,0.0,0.29,0.29,2.29,1.57,0.57,0.0,1.43,0.14,50.63,9.78,14.09,6.83,13.12,10.59,0.34,0.42,0.58
1151,527,1741,227,62,389,50,5545,23.02,110.9,4.82,34.82,1.51,10.54,0.46,5595.43,4629.3,5580.55,4.86,4.02,111.91,92.59,4.85,111.61,0.56,0.2,0.74,0.12,0.15,0.08,0.0,0.45,0.6,0.06,0.29,0.49,0.07,0.27,1.0,0.58,0.04,4.8,2.14,4.29,0.98,0.77,0.87,0.0,6.68,1.9,0.43,2.1,5.66,0.94,1.57,1.0,7.03,0.26,3.39,1.52,3.03,0.69,0.54,0.61,0.0,4.72,1.34,0.3,1.49,4.0,0.66,1.11,0.71,4.97,0.19,0.34,11.47,8.11,0.85,32.78,0.34,11.47,8.11,0.85,32.78,0.06,0.1,0.03,0.06,0.02,0.12,0.0,0.19,0.01,0.04,0.04,0.11,0.14,0.03,0.0,0.13,0.05,1.46,2.3,0.68,1.34,0.54,2.66,0.0,4.48,0.2,0.98,1.02,2.64,3.26,0.66,0.02,2.92,1.14,55.5,11.24,17.1,6.36,11.24,12.77,3.84,4.8,6.58
391,194,561,64,21,192,12,1727,32.58,143.92,4.42,46.75,1.43,16.17,0.5,1865.57,1616.1,2066.38,4.77,4.13,155.46,134.67,5.28,172.2,0.63,0.27,0.84,0.21,0.27,0.09,0.0,0.66,0.71,0.16,0.41,0.59,0.13,0.64,0.5,0.73,0.33,3.27,2.02,3.67,1.02,0.9,0.52,0.0,6.11,1.89,0.69,1.92,3.08,0.88,2.11,0.71,4.92,0.58,2.31,1.43,2.6,0.72,0.64,0.37,0.0,4.32,1.34,0.49,1.36,2.18,0.62,1.49,0.5,3.48,0.41,0.49,9.71,6.87,0.88,38.86,0.49,9.71,6.87,0.88,38.86,0.07,0.14,0.05,0.06,0.03,0.08,0.0,0.22,0.02,0.05,0.06,0.07,0.12,0.03,0.01,0.12,0.01,2.25,4.58,1.58,2.0,0.92,2.75,0.0,7.25,0.58,1.58,1.83,2.25,3.92,0.92,0.17,3.75,0.25,52.38,14.05,19.58,7.56,9.26,15.67,1.3,1.63,2.23
237,115,343,35,8,149,11,1158,21.55,105.27,4.89,31.18,1.45,10.45,0.49,1120.41,960.93,1209.11,4.73,4.05,101.86,87.36,5.1,109.92,0.7,0.5,0.93,0.2,0.25,0.16,0.0,0.91,1.0,0.2,0.54,0.57,0.17,1.0,0.0,0.9,0.25,3.13,2.83,3.47,0.89,0.71,0.69,0.0,6.59,1.41,0.45,1.94,2.71,0.91,1.73,0.0,4.15,0.5,2.21,2.0,2.46,0.63,0.5,0.49,0.0,4.66,1.0,0.32,1.37,1.92,0.65,1.22,0.0,2.93,0.35,0.63,9.68,6.84,0.92,53.95,0.63,9.68,6.84,0.92,53.95,0.08,0.14,0.06,0.08,0.03,0.08,0.0,0.22,0.01,0.02,0.05,0.1,0.13,0.01,0.0,0.09,0.02,1.82,2.91,1.27,1.82,0.73,1.73,0.0,4.82,0.18,0.45,1.18,2.09,2.73,0.27,0.0,1.91,0.36,62.53,9.89,14.53,4.87,11.56,12.36,0.79,0.99,1.35
903,478,1231,124,41,332,41,4116,22.02,100.39,4.56,30.02,1.36,11.66,0.53,3740.27,3361.73,4718.07,4.14,3.72,91.23,81.99,5.22,115.07,0.79,0.24,0.66,0.13,0.14,0.12,1.0,0.72,0.54,0.14,0.19,0.48,0.07,0.44,0.0,0.47,0.06,3.88,2.32,4.22,0.94,0.82,1.11,1.73,7.71,1.94,0.74,2.02,5.23,0.91,2.31,0.0,5.6,0.24,2.74,1.64,2.98,0.67,0.58,0.79,1.22,5.45,1.37,0.53,1.43,3.69,0.64,1.63,0.0,3.96,0.17,0.37,11.05,7.81,0.85,33.68,0.37,11.05,7.81,0.85,33.68,0.03,0.1,0.05,0.06,0.04,0.09,0.0,0.13,0.01,0.03,0.12,0.13,0.16,0.03,0.0,0.16,0.02,0.59,2.2,1.0,1.34,0.9,1.98,0.07,2.83,0.32,0.71,2.63,2.9,3.59,0.66,0.0,3.49,0.41,69.15,9.09,14.3,5.71,9.66,11.05,3.01,3.76,5.16
871,375,1379,168,63,349,26,4385,33.5,168.65,5.03,53.04,1.58,14.42,0.43,4147.0,3684.25,4219.14,4.76,4.23,159.5,141.7,4.84,162.27,0.62,0.17,0.74,0.27,0.17,0.07,0.0,0.5,1.0,0.09,0.38,0.49,0.08,0.33,0.0,0.67,0.04,4.78,1.72,3.54,1.64,0.71,0.64,0.0,6.48,2.0,0.59,2.3,5.62,0.84,1.41,0.0,7.24,0.21,3.38,1.21,2.51,1.16,0.5,0.45,0.0,4.58,1.41,0.42,1.63,3.97,0.59,1.0,0.0,5.12,0.15,0.4,11.83,8.36,0.86,37.48,0.4,11.83,8.36,0.86,37.48,0.07,0.11,0.03,0.04,0.02,0.1,0.0,0.19,0.0,0.05,0.04,0.15,0.13,0.02,0.0,0.13,0.03,2.31,3.77,0.88,1.42,0.69,3.38,0.0,6.46,0.15,1.77,1.42,5.15,4.42,0.69,0.0,4.46,0.88,38.89,16.16,21.12,8.89,12.92,19.03,2.9,3.63,4.98
365,162,573,70,28,190,10,1833,36.5,183.3,5.02,57.3,1.57,16.2,0.44,1790.14,1454.61,1743.67,4.9,3.99,179.01,145.46,4.78,174.37,0.95,0.25,0.8,0.33,0.33,0.14,0.0,0.73,0.75,0.27,0.45,0.52,0.1,0.62,0.0,0.72,0.11,4.25,1.66,2.53,1.29,1.0,0.82,0.0,6.17,2.12,0.9,2.01,3.74,0.72,1.77,0.0,5.22,0.33,3.0,1.17,1.79,0.91,0.71,0.58,0.0,4.36,1.5,0.64,1.42,2.65,0.51,1.25,0.0,3.69,0.24,0.52,9.95,7.03,0.89,42.17,0.52,9.95,7.03,0.89,42.17,0.05,0.12,0.03,0.04,0.02,0.1,0.0,0.19,0.02,0.03,0.05,0.14,0.13,0.02,0.0,0.15,0.02,2.0,4.4,1.0,1.5,0.9,3.7,0.0,7.1,0.8,1.1,2.0,5.2,4.8,0.8,0.0,5.3,0.9,36.98,17.17,22.27,9.56,12.92,20.47,1.22,1.52,2.09
118,60,164,18,9,83,9,536,13.11,59.56,4.54,18.22,1.39,6.67,0.51,464.79,438.95,590.7,3.94,3.72,51.64,48.77,5.01,65.63,1.0,0.55,1.0,0.43,0.5,0.33,1.0,0.72,1.0,1.0,0.5,0.81,0.27,1.0,0.0,0.76,0.25,2.45,1.81,2.24,1.13,0.71,1.0,1.0,3.06,1.73,1.73,1.87,3.25,1.28,1.73,0.0,3.15,0.5,1.73,1.28,1.58,0.8,0.5,0.71,0.71,2.17,1.22,1.22,1.32,2.3,0.9,1.22,0.0,2.23,0.35,0.7,7.64,5.4,0.93,55.5,0.7,7.64,5.4,0.93,55.5,0.05,0.09,0.04,0.06,0.02,0.08,0.01,0.15,0.03,0.03,0.12,0.14,0.19,0.03,0.0,0.14,0.03,0.67,1.22,0.56,0.78,0.22,1.0,0.11,2.0,0.33,0.33,1.56,1.78,2.44,0.33,0.0,1.89,0.44,75.95,5.92,11.35,5.71,8.65,6.52,0.39,0.49,0.67
1166,553,1802,230,113,479,52,5653,22.42,108.71,4.85,34.65,1.55,10.63,0.47,5084.66,4379.42,5724.47,4.36,3.76,97.78,84.22,4.91,110.09,0.57,0.15,0.73,0.16,0.07,0.06,0.0,0.63,1.0,0.12,0.26,0.6,0.06,0.54,0.0,0.62,0.03,5.79,1.77,4.92,1.07,0.38,0.72,0.0,9.47,2.83,0.77,2.47,6.95,0.81,2.75,0.0,7.04,0.18,4.09,1.25,3.48,0.75,0.27,0.51,0.0,6.69,2.0,0.55,1.74,4.91,0.58,1.94,0.0,4.98,0.13,0.41,14.03,9.92,0.87,42.82,0.41,14.03,9.92,0.87,42.82,0.09,0.12,0.04,0.04,0.02,0.11,0.0,0.19,0.01,0.04,0.07,0.12,0.19,0.02,0.0,0.11,0.03,2.0,2.69,0.87,0.83,0.54,2.38,0.0,4.33,0.15,0.81,1.67,2.62,4.17,0.5,0.0,2.48,0.58,53.33,11.39,16.86,8.42,11.39,12.62,3.89,4.86,6.66
1323,618,1853,189,56,519,62,6029,21.34,97.24,4.56,29.89,1.4,9.97,0.47,5734.08,4831.48,6407.93,4.33,3.65,92.49,77.93,4.84,103.35,0.75,0.16,0.74,0.17,0.12,0.08,0.0,0.72,0.62,0.06,0.18,0.47,0.05,0.29,1.0,0.56,0.05,6.94,1.77,4.54,1.47,0.61,0.87,0.0,10.46,2.22,0.5,1.93,6.63,0.74,1.71,1.0,7.68,0.33,4.91,1.25,3.21,1.04,0.43,0.62,0.0,7.4,1.57,0.36,1.36,4.69,0.52,1.21,0.71,5.43,0.23,0.39,14.27,10.09,0.87,41.77,0.39,14.27,10.09,0.87,41.77,0.06,0.1,0.03,0.06,0.02,0.08,0.0,0.16,0.01,0.05,0.09,0.15,0.17,0.03,0.0,0.14,0.03,1.37,2.05,0.61,1.26,0.39,1.73,0.0,3.4,0.21,1.02,1.92,3.24,3.6,0.55,0.02,3.02,0.6,66.69,9.26,14.25,5.43,9.61,10.7,4.41,5.51,7.56
839,339,1244,144,38,388,35,4198,23.97,119.94,5.0,35.54,1.48,9.69,0.4,3986.15,3400.4,4012.41,4.75,4.05,113.89,97.15,4.78,114.64,0.82,0.25,0.89,0.22,0.18,0.09,0.0,0.62,0.92,0.12,0.43,0.44,0.05,0.67,0.67,0.66,0.05,5.88,2.17,4.62,1.33,0.73,0.77,0.0,8.53,3.33,0.69,2.86,4.74,0.62,2.31,1.15,7.33,0.22,4.16,1.53,3.27,0.94,0.51,0.55,0.0,6.03,2.35,0.49,2.03,3.35,0.44,1.63,0.82,5.19,0.15,0.46,13.4,9.47,0.89,46.08,0.46,13.4,9.47,0.89,46.08,0.06,0.09,0.03,0.04,0.02,0.1,0.0,0.22,0.02,0.04,0.05,0.14,0.15,0.01,0.0,0.15,0.03,1.46,2.2,0.77,1.03,0.49,2.34,0.0,5.37,0.37,0.97,1.26,3.31,3.69,0.34,0.09,3.57,0.6,57.07,11.25,16.45,5.95,12.39,14.12,2.8,3.5,4.79
198,70,252,22,4,112,10,869,19.8,86.9,4.39,25.2,1.27,7.0,0.35,880.64,660.31,848.78,4.45,3.33,88.06,66.03,4.29,84.88,0.88,0.38,1.0,0.6,0.5,0.18,0.0,0.52,0.8,0.6,0.83,0.63,0.14,0.5,1.0,0.5,0.17,3.64,1.75,2.45,1.34,0.71,0.73,0.0,3.47,3.58,1.34,2.04,3.27,0.74,0.71,1.0,2.24,0.41,2.57,1.23,1.73,0.95,0.5,0.51,0.0,2.45,2.53,0.95,1.44,2.31,0.53,0.5,0.71,1.58,0.29,0.57,7.96,5.63,0.89,39.08,0.57,7.96,5.63,0.89,39.08,0.09,0.11,0.03,0.03,0.01,0.09,0.0,0.22,0.1,0.03,0.03,0.14,0.15,0.01,0.01,0.1,0.03,1.7,2.1,0.6,0.5,0.2,1.7,0.0,4.4,2.0,0.5,0.6,2.7,2.9,0.2,0.1,2.0,0.6,79.07,7.15,12.36,3.61,8.51,9.14,0.66,0.82,1.13
46,12,81,9,5,42,1,241,46.0,241.0,5.24,81.0,1.76,12.0,0.26,204.93,176.89,185.74,4.46,3.85,204.93,176.89,4.04,185.74,0.88,0.4,1.0,0.5,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.93,1.0,1.0,0.0,1.0,1.0,2.47,0.89,1.41,0.71,0.0,0.71,0.0,2.65,1.0,0.0,0.0,3.47,1.73,1.0,0.0,1.73,1.0,1.75,0.63,1.0,0.5,0.0,0.5,0.0,1.87,0.71,0.0,0.0,2.46,1.22,0.71,0.0,1.22,0.71,0.91,6.19,4.38,0.98,153.57,0.91,6.19,4.38,0.98,153.57,0.17,0.11,0.04,0.04,0.0,0.04,0.0,0.15,0.02,0.0,0.0,0.3,0.07,0.02,0.0,0.07,0.02,8.0,5.0,2.0,2.0,0.0,2.0,0.0,7.0,1.0,0.0,0.0,14.0,3.0,1.0,0.0,3.0,1.0,11.18,23.13,26.23,12.77,14.36,26.25,0.15,0.19,0.26
