total_number_of_words,total_number_of_stop_words,total_number_of_syllables,total_number_of_words_more_than_two_syllables,total_number_of_words_more_than_three_syllables,total_number_of_unique_words,total_number_of_sentences,total_number_of_characters,average_number_of_words_per_sentence,average_number_of_characters_per_sentence,average_number_of_characters_per_word,average_number_of_syllables_per_sentence,average_number_of_syllables_per_word,average_number_of_stop_words_per_sentence,average_number_of_stop_words_per_word,total_kuperman_age_of_acquistion_of_words,total_brysbaert_age_of_acquistion_of_words,total_subtlex_us_zipf_of_words,average_kuperman_age_of_acquistion_of_words_per_word,average_brysbaert_age_of_acquistion_of_words_per_word,average_kuperman_age_of_acquistion_of_words_per_sentence,average_brysbaert_age_of_acquistion_of_words_per_sentence,average_subtlex_us_zipf_of_words_per_word,average_subtlex_us_zipf_of_words_per_sentence,simple_adjectives_variation,simple_adpositions_variation,simple_adverbs_variation,simple_auxiliaries_variation,simple_coordinating_conjunctions_variation,simple_determiners_variation,simple_interjections_variation,simple_nouns_variation,simple_numerals_variation,simple_particles_variation,simple_pronouns_variation,simple_proper_nouns_variation,simple_punctuations_variation,simple_subordinating_conjunctions_variation,simple_symbols_variation,simple_verbs_variation,simple_spaces_variation,root_adjectives_variation,root_adpositions_variation,root_adverbs_variation,root_auxiliaries_variation,root_coordinating_conjunctions_variation,root_determiners_variation,root_interjections_variation,root_nouns_variation,root_numerals_variation,root_particles_variation,root_pronouns_variation,root_proper_nouns_variation,root_punctuations_variation,root_subordinating_conjunctions_variation,root_symbols_variation,root_verbs_variation,root_spaces_variation,corrected_adjectives_variation,corrected_adpositions_variation,corrected_adverbs_variation,corrected_auxiliaries_variation,corrected_coordinating_conjunctions_variation,corrected_determiners_variation,corrected_interjections_variation,corrected_nouns_variation,corrected_numerals_variation,corrected_particles_variation,corrected_pronouns_variation,corrected_proper_nouns_variation,corrected_punctuations_variation,corrected_subordinating_conjunctions_variation,corrected_symbols_variation,corrected_verbs_variation,corrected_spaces_variation,simple_type_token_ratio,root_type_token_ratio,corrected_type_token_ratio,bilogarithmic_type_token_ratio,uber_type_token_ratio,simple_type_token_ratio_no_lemma,root_type_token_ratio_no_lemma,corrected_type_token_ratio_no_lemma,bilogarithmic_type_token_ratio_no_lemma,uber_type_token_ratio_no_lemma,average_number_of_adjectives_per_word,average_number_of_adpositions_per_word,average_number_of_adverbs_per_word,average_number_of_auxiliaries_per_word,average_number_of_coordinating_conjunctions_per_word,average_number_of_determiners_per_word,average_number_of_interjections_per_word,average_number_of_nouns_per_word,average_number_of_numerals_per_word,average_number_of_particles_per_word,average_number_of_pronouns_per_word,average_number_of_proper_nouns_per_word,average_number_of_punctuations_per_word,average_number_of_subordinating_conjunctions_per_word,average_number_of_symbols_per_word,average_number_of_verbs_per_word,average_number_of_spaces_per_word,average_number_of_adjectives_per_sentence,average_number_of_adpositions_per_sentence,average_number_of_adverbs_per_sentence,average_number_of_auxiliaries_per_sentence,average_number_of_coordinating_conjunctions_per_sentence,average_number_of_determiners_per_sentence,average_number_of_interjections_per_sentence,average_number_of_nouns_per_sentence,average_number_of_numerals_per_sentence,average_number_of_particles_per_sentence,average_number_of_pronouns_per_sentence,average_number_of_proper_nouns_per_sentence,average_number_of_punctuations_per_sentence,average_number_of_subordinating_conjunctions_per_sentence,average_number_of_symbols_per_sentence,average_number_of_verbs_per_sentence,average_number_of_spaces_per_sentence,flesch_kincaid_reading_ease,flesch_kincaid_grade_level,gunning_fog_index,smog_index,coleman_liau_index,automated_readability_index,reading_time_for_fast_readers,reading_time_for_average_readers,reading_time_for_slow_readers
3482,1286,4977,515,95,748,154,15964,22.61,103.66,4.58,32.32,1.43,8.35,0.37,13991.89,11496.93,15486.18,4.02,3.3,90.86,74.66,4.45,100.56,0.3,0.05,0.52,0.09,0.05,0.01,0.0,0.35,0.23,0.05,0.19,0.26,0.02,0.18,0.33,0.43,0.01,4.69,1.27,4.16,0.81,0.31,0.16,0.0,9.51,3.49,0.38,1.64,5.92,0.48,1.34,0.58,8.18,0.09,3.32,0.9,2.94,0.57,0.22,0.11,0.0,6.73,2.46,0.27,1.16,4.19,0.34,0.94,0.41,5.79,0.07,0.21,12.68,8.96,0.81,28.47,0.21,12.68,8.96,0.81,28.47,0.07,0.16,0.02,0.02,0.01,0.1,0.0,0.21,0.07,0.02,0.02,0.15,0.13,0.02,0.0,0.11,0.03,1.57,3.6,0.41,0.49,0.27,2.27,0.0,4.81,1.56,0.4,0.47,3.43,2.88,0.36,0.02,2.39,0.75,62.96,10.09,14.96,4.49,9.85,11.47,11.61,14.51,19.9
1088,509,1683,204,54,551,82,5267,13.27,64.23,4.84,20.52,1.55,6.21,0.47,5716.78,4645.87,5454.2,5.25,4.27,69.72,56.66,5.01,66.51,0.86,0.17,0.79,0.18,0.14,0.11,0.0,0.75,0.83,0.06,0.3,0.79,0.05,0.54,0.0,0.81,0.06,7.86,1.92,4.63,1.34,0.83,1.13,0.0,12.46,2.04,0.42,2.57,6.81,0.66,1.94,0.0,9.47,0.25,5.55,1.36,3.27,0.94,0.59,0.8,0.0,8.81,1.44,0.29,1.82,4.82,0.46,1.37,0.0,6.69,0.18,0.51,16.7,11.81,0.9,58.55,0.51,16.7,11.81,0.9,58.55,0.08,0.11,0.03,0.05,0.03,0.1,0.0,0.25,0.01,0.05,0.07,0.07,0.17,0.01,0.0,0.12,0.01,1.02,1.46,0.41,0.68,0.44,1.38,0.0,3.37,0.07,0.63,0.89,0.91,2.29,0.16,0.0,1.65,0.2,62.5,7.84,12.81,4.64,10.43,8.01,3.63,4.53,6.22
1260,610,1725,161,54,489,46,5735,27.39,124.67,4.55,37.5,1.37,13.26,0.48,5903.61,5093.15,6226.19,4.69,4.04,128.34,110.72,4.94,135.35,0.76,0.15,0.8,0.13,0.12,0.09,0.0,0.56,0.8,0.06,0.25,0.46,0.05,0.39,0.5,0.64,0.04,7.81,1.83,5.85,1.02,0.77,1.0,0.0,9.03,3.58,0.44,2.29,5.43,0.7,1.65,0.71,7.19,0.2,5.52,1.29,4.14,0.72,0.55,0.7,0.0,6.38,2.53,0.31,1.62,3.84,0.49,1.17,0.5,5.08,0.14,0.39,13.78,9.74,0.87,40.51,0.39,13.78,9.74,0.87,40.51,0.08,0.13,0.04,0.05,0.03,0.1,0.0,0.2,0.02,0.04,0.07,0.11,0.13,0.01,0.0,0.1,0.02,2.28,3.43,1.17,1.35,0.91,2.65,0.0,5.61,0.43,1.02,1.83,3.02,3.61,0.39,0.04,2.76,0.57,63.21,11.25,16.07,6.19,9.88,13.7,4.2,5.25,7.2
2418,1212,3540,347,117,802,112,11681,21.59,104.29,4.83,31.61,1.46,10.82,0.5,11893.03,10090.44,11941.04,4.92,4.17,106.19,90.09,4.94,106.62,0.64,0.1,0.55,0.1,0.05,0.06,1.0,0.57,0.52,0.04,0.19,0.36,0.04,0.15,0.5,0.6,0.02,8.83,1.71,6.11,1.2,0.39,0.98,1.73,12.28,2.6,0.42,2.6,5.16,0.63,1.24,0.71,10.57,0.14,6.24,1.21,4.32,0.85,0.27,0.69,1.22,8.68,1.84,0.3,1.84,3.65,0.44,0.88,0.5,7.47,0.1,0.33,16.31,11.53,0.86,40.52,0.33,16.31,11.53,0.86,40.52,0.08,0.11,0.05,0.06,0.02,0.1,0.0,0.19,0.01,0.04,0.08,0.09,0.13,0.03,0.0,0.13,0.02,1.71,2.38,1.11,1.21,0.54,2.08,0.03,4.16,0.22,0.79,1.71,1.84,2.74,0.58,0.02,2.79,0.44,61.07,10.11,14.38,5.84,11.23,12.12,8.06,10.07,13.82
1173,575,1677,179,65,443,39,5391,30.08,138.23,4.6,43.0,1.43,14.74,0.49,5269.65,4514.49,5914.6,4.49,3.85,135.12,115.76,5.04,151.66,0.54,0.16,0.71,0.19,0.15,0.07,0.0,0.61,0.8,0.08,0.21,0.43,0.07,0.33,0.0,0.67,0.08,5.63,1.94,4.53,1.51,1.03,0.71,0.0,8.65,2.53,0.57,1.81,5.69,0.94,1.53,0.0,7.39,0.4,3.98,1.37,3.2,1.07,0.73,0.5,0.0,6.12,1.79,0.4,1.28,4.02,0.66,1.08,0.0,5.23,0.28,0.38,12.93,9.15,0.86,38.13,0.38,12.93,9.15,0.86,38.13,0.09,0.12,0.03,0.05,0.04,0.08,0.0,0.17,0.01,0.04,0.07,0.15,0.14,0.02,0.0,0.1,0.02,2.82,3.59,1.05,1.62,1.18,2.49,0.0,5.1,0.26,1.26,2.0,4.46,4.21,0.54,0.0,3.15,0.64,55.36,13.01,18.13,7.38,10.24,15.26,3.91,4.89,6.7
242,102,365,41,13,139,13,1185,18.62,91.15,4.9,28.08,1.51,7.85,0.42,1105.81,1008.45,1155.3,4.57,4.17,85.06,77.57,4.77,88.87,0.8,0.4,1.0,0.31,0.33,0.15,0.0,0.7,1.0,0.67,0.71,0.67,0.12,0.67,0.0,0.67,0.12,3.58,2.0,3.0,1.11,0.82,0.87,0.0,5.08,2.0,1.15,1.89,4.0,0.69,1.15,0.0,3.27,0.35,2.53,1.41,2.12,0.78,0.58,0.62,0.0,3.59,1.41,0.82,1.34,2.83,0.49,0.82,0.0,2.31,0.25,0.57,8.94,6.32,0.9,43.91,0.57,8.94,6.32,0.9,43.91,0.08,0.1,0.04,0.05,0.02,0.14,0.0,0.22,0.02,0.01,0.03,0.15,0.14,0.01,0.0,0.1,0.03,1.54,1.92,0.69,1.0,0.46,2.54,0.0,4.08,0.31,0.23,0.54,2.77,2.62,0.23,0.0,1.85,0.62,60.34,9.47,14.22,5.71,11.4,10.94,0.81,1.01,1.38
1503,756,2213,232,78,586,77,7170,19.52,93.12,4.77,28.74,1.47,9.82,0.5,7235.32,6345.92,7775.46,4.81,4.22,93.97,82.41,5.17,100.98,0.78,0.15,0.6,0.11,0.06,0.08,0.0,0.63,0.62,0.08,0.22,0.43,0.05,0.38,1.0,0.63,0.03,8.45,1.91,5.41,1.08,0.41,0.98,0.0,10.75,3.14,0.56,2.15,4.88,0.69,2.12,1.41,8.53,0.17,5.97,1.35,3.83,0.76,0.29,0.69,0.0,7.6,2.22,0.4,1.52,3.45,0.49,1.5,1.0,6.03,0.12,0.39,15.12,10.69,0.87,43.12,0.39,15.12,10.69,0.87,43.12,0.08,0.11,0.05,0.07,0.04,0.1,0.0,0.19,0.02,0.03,0.06,0.08,0.14,0.02,0.0,0.12,0.02,1.51,2.05,1.06,1.35,0.69,1.95,0.0,3.81,0.34,0.66,1.23,1.65,2.74,0.42,0.03,2.4,0.47,62.46,9.4,13.98,5.75,10.73,10.8,5.01,6.26,8.59
2036,978,3191,385,152,764,87,10082,23.4,115.89,4.95,36.68,1.57,11.24,0.48,10111.62,8821.4,10301.65,4.97,4.33,116.23,101.4,5.06,118.41,0.61,0.11,0.66,0.11,0.08,0.06,1.0,0.6,0.67,0.1,0.21,0.57,0.04,0.22,0.0,0.6,0.05,8.53,1.65,6.25,1.15,0.63,0.91,1.0,12.05,3.06,0.64,2.27,8.57,0.67,1.33,0.0,8.93,0.21,6.03,1.17,4.42,0.81,0.45,0.65,0.71,8.52,2.16,0.45,1.61,6.06,0.48,0.94,0.0,6.31,0.15,0.38,16.93,11.97,0.87,44.96,0.38,16.93,11.97,0.87,44.96,0.1,0.12,0.04,0.05,0.03,0.12,0.0,0.2,0.01,0.02,0.06,0.11,0.16,0.02,0.0,0.11,0.01,2.28,2.84,1.02,1.25,0.72,2.7,0.01,4.63,0.24,0.45,1.39,2.64,3.64,0.41,0.0,2.55,0.25,50.49,12.03,16.92,7.55,12.05,13.59,6.79,8.48,11.63
606,276,911,109,41,282,23,2968,26.35,129.04,4.9,39.61,1.5,12.0,0.46,2791.81,2310.45,3050.68,4.61,3.81,121.38,100.45,5.03,132.64,0.86,0.32,0.87,0.21,0.33,0.11,0.0,0.62,0.81,0.15,0.42,0.56,0.08,0.5,1.0,0.7,0.06,4.64,2.52,3.36,1.3,0.82,0.92,0.0,6.78,3.25,0.67,2.33,4.98,0.75,2.12,1.0,6.33,0.24,3.28,1.78,2.37,0.92,0.58,0.65,0.0,4.8,2.3,0.47,1.65,3.52,0.53,1.5,0.71,4.48,0.17,0.47,11.46,8.1,0.88,41.61,0.47,11.46,8.1,0.88,41.61,0.05,0.1,0.02,0.06,0.01,0.12,0.0,0.2,0.03,0.03,0.05,0.13,0.14,0.03,0.0,0.13,0.03,1.26,2.74,0.65,1.65,0.26,3.26,0.0,5.17,0.7,0.87,1.35,3.39,3.78,0.78,0.04,3.52,0.74,52.91,12.42,17.73,7.63,11.87,14.81,2.02,2.52,3.46
1242,704,1808,204,75,479,54,5794,23.0,107.3,4.67,33.48,1.46,13.04,0.57,6106.06,5425.23,6704.59,4.92,4.37,113.08,100.47,5.4,124.16,0.76,0.21,0.66,0.11,0.1,0.1,0.0,0.69,0.43,0.07,0.23,0.57,0.06,0.37,0.0,0.57,0.15,7.75,2.33,4.99,1.12,0.63,1.12,0.0,10.01,1.6,0.45,2.51,5.38,0.7,2.34,0.0,6.94,0.67,5.48,1.64,3.53,0.79,0.45,0.79,0.0,7.08,1.13,0.32,1.77,3.8,0.5,1.66,0.0,4.91,0.47,0.39,13.59,9.61,0.87,39.98,0.39,13.59,9.61,0.87,39.98,0.08,0.1,0.05,0.08,0.03,0.11,0.0,0.17,0.01,0.04,0.09,0.07,0.1,0.03,0.0,0.12,0.02,1.93,2.31,1.07,1.8,0.74,2.48,0.0,3.89,0.26,0.83,2.15,1.67,2.39,0.76,0.0,2.78,0.37,60.34,10.56,15.77,6.73,10.34,12.04,4.14,5.17,7.1
