,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,0.07078032493591309,0.00513368379103573,0.00891704559326172,0.0008032781896898419,gini,,50,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 50}",0.8686868686868686,0.823529411764706,0.8181818181818182,0.8541666666666666,0.9387755102040817,0.8606680551008281,0.04333982723083288,226,0.9432043650793651,0.8933531746031746,0.9325396825396826,0.9203869047619048,0.9866071428571428,0.935218253968254,0.030608575289734083,325
1,0.14217777252197267,0.0065796869473212245,0.013538360595703125,0.0013122056709578098,gini,,100,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 100}",0.888888888888889,0.8316831683168316,0.8045977011494253,0.8421052631578947,0.9292929292929293,0.8593135901611939,0.04432877494369746,238,0.9449404761904762,0.9000496031746033,0.925843253968254,0.9253472222222221,0.9898313492063493,0.9372023809523811,0.029931888909170954,289
2,0.20591917037963867,0.0037923133631581024,0.018246889114379883,0.0009881259664750992,gini,,150,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 150}",0.8775510204081632,0.8316831683168316,0.8181818181818182,0.8602150537634408,0.9387755102040817,0.865281314174867,0.04224880463039266,102,0.9464285714285714,0.9184027777777777,0.9327876984126985,0.9268353174603174,0.9913194444444444,0.9431547619047619,0.025756612601787705,149
3,0.2757533073425293,0.006009585294588988,0.02184638977050781,0.0007493191460113676,gini,,200,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 200}",0.8775510204081632,0.8316831683168316,0.8181818181818182,0.8602150537634408,0.9199999999999999,0.8615262121340507,0.03590833116492522,201,0.9459325396825398,0.9114583333333334,0.9325396825396824,0.9303075396825397,0.9905753968253969,0.9421626984126984,0.026585358108309178,220
4,0.34368319511413575,0.003557227253525922,0.02595062255859375,0.00036548833783679095,gini,,250,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 250}",0.8775510204081632,0.8316831683168316,0.8181818181818182,0.8602150537634408,0.9387755102040817,0.865281314174867,0.04224880463039266,102,0.9446924603174603,0.9131944444444444,0.9315476190476191,0.9305555555555555,0.9903273809523809,0.942063492063492,0.026125667620739913,229
5,0.40555548667907715,0.0023296458457024633,0.02975640296936035,0.0009112295163514701,gini,,300,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 300}",0.8775510204081632,0.8431372549019608,0.8089887640449439,0.8602150537634408,0.9292929292929293,0.8638370044822876,0.03980572814156829,128,0.9434523809523809,0.9188988095238095,0.927827380952381,0.9300595238095237,0.9903273809523809,0.9421130952380953,0.025356199680648072,227
6,0.4751072883605957,0.002306000207203815,0.033817195892333986,0.0009363148454749366,gini,,350,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 350}",0.8775510204081632,0.8431372549019608,0.8181818181818182,0.8602150537634408,0.9292929292929293,0.8656756153096625,0.037367483384855904,95,0.9439484126984127,0.9146825396825397,0.9298115079365079,0.9290674603174603,0.9908234126984127,0.9416666666666668,0.026264119797265614,245
7,0.5274753093719482,0.01154157812924339,0.03850455284118652,0.0013176322858551915,gini,,400,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 400}",0.8775510204081632,0.8316831683168316,0.8314606741573034,0.8602150537634408,0.9292929292929293,0.8660405691877336,0.0361759265563533,87,0.9449404761904763,0.9181547619047619,0.9300595238095238,0.9308035714285714,0.9908234126984127,0.9429563492063492,0.02539420946969165,162
8,0.5958913803100586,0.005440740883221334,0.04222016334533692,0.0012239085093439012,gini,,450,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 450}",0.8775510204081632,0.8316831683168316,0.8314606741573034,0.8602150537634408,0.9400000000000001,0.868181983329148,0.039974232664618276,35,0.9437003968253969,0.9191468253968254,0.9308035714285714,0.9312996031746031,0.9903273809523809,0.9430555555555555,0.02487963908840039,155
9,0.644770336151123,0.006517426457899942,0.045093202590942384,0.0008356420063932239,gini,,500,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 500}",0.8775510204081632,0.8316831683168316,0.8444444444444444,0.8723404255319149,0.9400000000000001,0.873203811740271,0.03750317176594214,1,0.9444444444444445,0.9149305555555556,0.9310515873015874,0.9340277777777777,0.9910714285714286,0.9431051587301587,0.025783919104335883,153
10,0.7304803848266601,0.013497912891838928,0.049805402755737305,0.0002822993169748951,gini,,550,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 550}",0.8775510204081632,0.8316831683168316,0.8444444444444444,0.8602150537634408,0.9400000000000001,0.8707787373865761,0.03787082500411087,8,0.9441964285714286,0.9166666666666666,0.9310515873015873,0.935515873015873,0.9920634920634921,0.9438988095238094,0.025678160250146433,122
11,0.8005908966064453,0.021677468158501467,0.054753351211547854,0.000488149715566087,gini,,600,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 600}",0.8775510204081632,0.8316831683168316,0.8444444444444444,0.8602150537634408,0.9400000000000001,0.8707787373865761,0.03787082500411087,8,0.9451884920634921,0.915922619047619,0.9305555555555556,0.9360119047619048,0.9930555555555555,0.9441468253968255,0.026232248583989783,105
